iter	RMSE
0	685985.5202
1	649076.3327
2	613972.3606
3	581441.7167
4	550559.5273
5	523105.0176
6	496700.452
7	470536.062
8	446468.0419
9	423396.3719
10	402194.5981
11	382308.7415
12	363955.8324
13	347308.7531
14	331326.0358
15	315591.719
16	301260.772
17	287459.8821
18	274844.9067
19	263113.5089
20	251901.7648
21	241245.0366
22	231810.6985
23	222446.9069
24	213747.7793
25	206288.044
26	199162.4986
27	192717.0434
28	186581.5853
29	180703.3728
30	175277.3375
31	170483.0416
32	165726.9495
33	161804.6236
34	157647.9657
35	153958.7179
36	150509.0129
37	147532.3094
38	144741.987
39	142154.7735
40	139811.8334
41	137699.6759
42	135740.7437
43	133897.3472
44	131986.8559
45	130138.6729
46	128740.7192
47	127184.2327
48	125902.3633
49	124873.7496
50	123821.9813
51	122784.3454
52	121743.6114
53	120875.4909
54	120106.9057
55	119129.3949
56	118299.4638
57	117550.9199
58	116907.7716
59	116340.8577
60	116206.2124
61	115654.7078
62	115534.2168
63	115416.9726
64	114996.9991
65	114498.0268
66	114390.3241
67	114116.2966
68	113854.1635
69	113454.8161
70	113352.5705
71	112958.5453
72	112641.2385
73	112287.891
74	112201.877
75	112112.8242
76	112030.8545
77	111943.6274
78	111866.3347
79	111605.1046
80	111356.3176
81	111159.3541
82	110700.894
83	110633.2519
84	110567.6385
85	110401.6898
86	110183.3367
87	110082.9603
88	109827.5426
89	109772.1643
90	109718.041
91	109637.6407
92	109587.6111
93	109538.3048
94	109316.0921
95	109140.3801
96	109010.3715
97	108944.2639
98	108900.1068
99	108699.6419
100	108533.1634
101	108464.4523
102	108311.5868
103	108165.2638
104	107989.2981
105	107840.6828
106	107807.3097
107	107774.3333
108	107569.0739
109	107537.2942
110	107496.1025
111	107345.0045
112	107296.9116
113	107245.7683
114	107058.6244
115	107022.4686
116	106902.1941
117	106876.7568
118	106840.0658
119	106717.7056
120	106660.9887
121	106572.5036
122	106551.8472
123	106404.523
124	106302.9341
125	106159.3095
126	105859.2988
127	105823.157
128	105666.2403
129	105527.0864
130	105234.3352
131	105133.5497
132	105028.4084
133	104922.0798
134	104849.8314
135	104781.7605
136	104666.9425
137	104613.5613
138	104590.3843
139	104430.0201
140	104417.7494
141	104179.3325
142	104059.1812
143	103941.4253
144	103856.2855
145	103685.0891
146	103554.2858
147	103372.3627
148	103297.0022
149	103244.63
150	103144.635
151	103128.5776
152	103120.4242
153	103079.0073
154	102858.7822
155	102714.7127
156	102653.607
157	102565.511
158	102445.7114
159	102411.4131
160	102349.6312
161	102316.7554
162	102264.555
163	102195.5587
164	102094.124
165	101983.6868
166	101902.361
167	101897.0498
168	101855.4595
169	101723.3397
170	101655.2
171	101628.6572
172	101586.903
173	101495.909
174	101400.0112
175	101325.6297
176	101268.0682
177	101206.5303
178	101144.9355
179	101082.2093
180	101008.6577
181	100968.728
182	100922.4188
183	100828.1524
184	100748.5173
185	100704.9202
186	100668.0364
187	100636.8461
188	100565.3962
189	100452.6038
190	100327.6057
191	100288.8341
192	100187.5331
193	100123.415
194	100099.8279
195	99978.46704
196	99876.05516
197	99845.08184
198	99811.04368
199	99771.78945
200	99739.15074
201	99683.24686
202	99650.15604
203	99579.36841
204	99541.82117
205	99499.89
206	99426.44962
207	99366.91625
208	99316.35401
209	99166.82427
210	99135.13637
211	98991.88216
212	98929.09586
213	98876.06181
214	98781.30578
215	98727.07545
216	98707.83451
217	98619.88427
218	98529.50612
