iter	Passed	Remaining
0	99	99687
1	102	50933
2	104	34622
3	106	26469
4	108	21583
5	110	18329
6	112	16002
7	114	14244
8	116	12878
9	119	11794
10	121	10899
11	123	10159
12	125	9534
13	127	8991
14	129	8520
15	132	8121
16	134	7759
17	136	7440
18	138	7149
19	140	6883
20	142	6635
21	144	6407
22	146	6205
23	147	6017
24	149	5842
25	151	5680
26	153	5541
27	155	5403
28	157	5273
29	159	5157
30	161	5044
31	163	4936
32	165	4841
33	167	4772
34	169	4682
35	171	4598
36	173	4518
37	175	4441
38	177	4368
39	179	4299
40	181	4235
41	183	4178
42	185	4119
43	186	4062
44	188	4008
45	190	3957
46	192	3907
47	194	3862
48	196	3816
49	198	3773
50	200	3731
51	202	3691
52	204	3652
53	206	3614
54	208	3577
55	210	3542
56	212	3508
57	213	3475
58	215	3443
59	217	3414
60	219	3384
61	221	3355
62	223	3318
63	224	3286
64	226	3260
65	228	3235
66	229	3202
67	231	3177
68	233	3155
69	235	3133
70	237	3110
71	239	3089
72	241	3068
73	243	3047
74	245	3023
75	246	3002
76	248	2984
77	250	2965
78	252	2946
79	254	2928
80	256	2910
81	258	2893
82	260	2877
83	262	2861
84	264	2845
85	266	2829
86	268	2814
87	270	2798
88	271	2783
89	273	2768
90	275	2753
91	277	2740
92	278	2718
93	280	2705
94	282	2691
95	284	2679
96	286	2667
97	288	2654
98	290	2641
99	292	2629
100	294	2617
101	295	2605
102	297	2593
103	299	2582
104	301	2571
105	303	2561
106	304	2543
107	306	2533
108	308	2523
109	310	2508
110	311	2498
111	313	2488
112	315	2478
113	317	2468
114	319	2461
115	321	2452
116	323	2444
117	325	2435
118	327	2425
119	329	2416
120	331	2408
121	333	2400
122	335	2389
123	337	2381
124	339	2374
125	341	2365
126	343	2358
127	344	2350
128	346	2342
129	348	2334
130	350	2327
131	352	2319
132	354	2312
133	356	2305
134	358	2298
135	360	2292
136	362	2284
137	364	2277
138	366	2270
139	368	2263
140	370	2256
141	372	2249
142	374	2242
143	376	2235
144	378	2229
145	379	2222
146	381	2215
147	383	2209
148	385	2202
149	387	2195
150	389	2189
151	391	2184
152	392	2173
153	394	2167
154	396	2161
155	398	2155
156	400	2150
157	402	2144
158	404	2138
159	406	2133
160	408	2128
161	410	2122
162	412	2117
163	414	2111
164	416	2106
165	418	2100
166	420	2094
167	421	2086
168	423	2082
169	425	2077
170	427	2072
171	429	2067
172	431	2061
173	433	2056
174	435	2052
175	437	2046
176	439	2041
177	441	2037
178	443	2032
179	445	2027
180	446	2022
181	448	2017
182	450	2012
183	452	2007
184	454	2003
185	456	1999
186	459	1996
187	461	1991
188	463	1987
189	465	1983
190	467	1978
191	469	1974
192	470	1969
193	473	1965
194	475	1961
195	477	1956
196	478	1952
197	480	1946
198	482	1942
199	484	1937
200	486	1933
201	488	1929
202	490	1924
203	492	1921
204	494	1917
205	496	1913
206	498	1909
207	500	1905
208	502	1900
209	504	1896
210	506	1892
211	507	1888
212	509	1884
213	511	1880
214	513	1875
215	515	1871
216	517	1867
217	519	1864
218	521	1860
219	523	1856
220	525	1852
221	527	1849
222	529	1845
223	531	1841
224	533	1838
225	536	1836
226	538	1832
227	540	1829
228	542	1825
229	544	1821
230	546	1818
231	548	1815
232	550	1811
233	552	1807
234	554	1803
235	555	1799
236	557	1796
237	559	1792
238	561	1789
239	564	1786
240	566	1782
241	568	1779
242	570	1775
243	572	1772
244	574	1769
245	576	1765
246	578	1762
247	580	1759
248	582	1756
249	584	1753
250	586	1749
251	588	1746
252	590	1743
253	592	1739
254	594	1736
255	596	1734
256	598	1731
257	601	1728
258	603	1725
259	604	1721
260	606	1718
261	608	1715
262	610	1711
263	613	1708
264	615	1705
265	616	1702
266	618	1699
