km_driven,mileage,engine,max_power,seats,name_target_enc,fuel_Diesel,fuel_Petrol,seller_type_Individual,transmission_Manual
20000.0,21.1,814.0,55.2,5.0,241384.55128205128,0,1,1,1
55000.0,19.33,1248.0,82.0,5.0,366666.6666666667,0,1,1,1
80000.0,13.7,1399.0,98.82,7.0,312000.0,0,1,1,1
42000.0,19.33,1248.0,82.0,5.0,404999.94736842107,1,0,1,1
110000.0,20.51,998.0,67.04,5.0,321955.14925373136,0,1,1,1
90000.0,19.33,1248.0,82.0,5.0,284058.76470588235,1,0,1,1
30000.0,19.33,1248.0,82.0,5.0,212833.3333333333,0,1,1,1
1250.0,19.33,1248.0,82.0,5.0,475000.0,0,1,1,1
80000.0,21.9,1396.0,90.0,5.0,364375.0,1,0,1,1
122358.0,12.05,2179.0,120.0,9.0,483928.5,1,0,1,1
119000.0,23.9,1582.0,126.2,5.0,722000.0,1,0,1,1
31800.0,19.33,1248.0,82.0,5.0,557005.5166666667,1,0,0,1
80000.0,19.33,1248.0,82.0,5.0,602500.0,1,0,1,1
110000.0,19.33,1248.0,82.0,5.0,267203.078125,1,0,1,1
40000.0,19.33,1248.0,82.0,5.0,628333.3333333334,0,1,1,1
80000.0,15.4,2523.0,75.0,9.0,756666.6666666666,1,0,1,1
50000.0,19.33,1248.0,82.0,5.0,73444.5925925926,0,1,1,1
120000.0,12.7,2609.0,120.0,8.0,365000.0,1,0,1,1
70000.0,18.9,1061.0,67.0,5.0,176999.9,0,1,1,1
64000.0,19.7,796.0,46.3,5.0,139112.5945945946,0,1,1,1
30000.0,19.33,1248.0,82.0,5.0,321955.14925373136,0,1,1,1
21200.0,19.33,1248.0,82.0,5.0,5.8,0,1,0,1
40000.0,19.33,1248.0,82.0,5.0,191250.0,1,0,1,1
38817.0,27.39,1248.0,74.0,5.0,731666.6666666666,1,0,0,1
65000.0,19.33,1248.0,82.0,5.0,434377.9878048781,1,0,0,1
210000.0,12.2,1994.0,105.3,9.0,409999.0,1,0,1,1
58000.0,19.33,1248.0,82.0,5.0,144500.0,1,0,0,1
78000.0,19.33,1248.0,82.0,5.0,440000.0,1,0,0,1
11918.0,19.33,1248.0,82.0,5.0,579190.4761904762,0,1,0,1
60000.0,19.33,1248.0,82.0,5.0,595000.0,0,1,1,1
23000.0,25.2,1248.0,74.0,5.0,434377.9878048781,1,0,1,1
120000.0,19.33,1248.0,82.0,5.0,250000.0,1,0,1,1
40000.0,20.14,1197.0,81.86,5.0,549999.8333333334,0,1,1,1
35000.0,18.9,998.0,67.1,5.0,167767.12328767125,0,1,1,1
20000.0,23.01,999.0,67.0,5.0,271250.0,0,1,1,1
110000.0,18.49,1493.0,100.0,7.0,652130.3478260869,1,0,1,1
